Qty,Ref,Value,Mouser #,Mfr. #,Manufacturer,Description,,Notes,Notes
2,"C9, C10 ",18p,81-GRM185C1H180JA01J,GRM1885C1H180JA01J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 18pF 50volts C0G 5%,,,
1,C29,47p,81-GRM185C1H470GA01J,GRM1885C1H470GA01J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 47pF 50volts C0G 2%,,,
2,"C21, C22 ",100p,81-GRM1885C1H101GA1J,GRM1885C1H101GA01J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100pF 50Volts C0G 2%,,,
4,"C13, C14, C16, C17",1n,81-GRM1885C1H102FA1J,GRM1885C1H102FA1J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1000pF 50volts,,,
17,"C1, C2, C3, C4, C5, C7, C11, C18, C20, C23, C26, C27, C28, C31, C32, C34, C35   ",100n,963-EMK107BJ104KAHT,EMK107BJ104KAHT,Taiyo Yuden,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 16V X5R +/-10% 0603 AEC-Q200,,Added 3 jm,
1,C8  ,470n,81-GRM18F51C474ZA01J,GRM188F51C474ZA01J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.47uF 16volts Y5V +80-20%,,,
2,"C6, C12    ",1uF,81-GRM18R61A105KA61J,GRM188R61A105KA61J,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1uF 10volts X5R 10%,,,
,,,,,,,,,
1,C24 ,10uF,647-UWP1A100MCL,UWP1A100MCL1GB,Nichicon,Aluminum Electrolytic Capacitors - SMD 10volts 10uF 4x5.4 20%,,,
3,"C15, C19, C33 ",22uf,667-EEE-FK1E220R,EEE-FK1E220R,Panasonic,Aluminum Electrolytic Capacitors - SMD 22uF 25V,,Added 1 jm,
2,"C25, C30   ",47uF,667-EEE-FK1V470P,EEE-FK1V470P,Panasonic,Aluminum Electrolytic Capacitors - SMD 47uF 35V,,,
,,,,,,,,,
2,"R2, R49",4R7,667-ERJ-8GEYJ4R7V,ERJ-8GEYJ4R7V,Panasonic,Thick Film Resistors - SMD 1206 4.7ohms 5% Tol AEC-Q200,,,
1,R51,330R,667-ERJ-3EKF3300V,ERJ-3EKF3300V,Panasonic,Thick Film Resistors - SMD 0603 330ohms 1% AEC-Q200,,,
2,"R23, R55  ",1K,667-ERJ-3EKF1001V,ERJ-3EKF1001V,Panasonic,Thick Film Resistors - SMD 0603 1Kohms 1% AEC-Q200,,,
4,"R1, R22, R27, R33, ",10K,667-ERJ-3EKF1002V,ERJ-3EKF1002V,Panasonic,Thick Film Resistors - SMD 0603 10Kohms 1% AEC-Q200,,,
11,"R30, R31, R34, R35, R41, R42, R43, R44, R50, R52, R53 ",24K9,667-ERJ-3EKF2492V,ERJ-3EKF2492V,Panasonic,Thick Film Resistors - SMD 0603 24.9Kohms 1% AEC-Q200,,,
2,"R45, R46 ",39K,667-ERJ-3EKF3902V,ERJ-3EKF3902V,Panasonic,Thick Film Resistors - SMD 0603 39Kohms 1% AEC-Q200,,,
2,"R25, R26   ",49K9,667-ERJ-3EKF4992V,ERJ-3EKF4992V,Panasonic,Thick Film Resistors - SMD 0603 49.9Kohms 1% AEC-Q200,,,
6,"R24, R29, R47, R48, R54, R56   ",100K,667-ERJ-3EKF1003V,ERJ-3EKF1003V,Panasonic,Thick Film Resistors - SMD 0603 100Kohms 1% AEC-Q200,,,
1,R39 ,120K,667-ERJ-3EKF1203V,ERJ-3EKF1203V,Panasonic,Thick Film Resistors - SMD 0603 120Kohms 1% AEC-Q200,,,
3,"R28, R32, R40    ",200K,667-ERJ-3EKF2003V,ERJ-3EKF2003V,Panasonic,Thick Film Resistors - SMD 0603 200Kohms 1% AEC-Q200,,,
6,"R19, R20, R21, R36, R37, R38",10kB,652-PTV09A-4025UB103,PTV09A-4025U-B103,Bourns,Potentiometers 10K LINEAR 20%,,"R36, R38",
,,,,,,,,,
1,D3,MB1S,512-MB1S,MB1S,,Bridge Rectifiers 0.5A Bridge,,,
2,"IC1, IC2 ",74HC595,595-SN74HC595PWR,SN74HC595PWR,Texas Instruments,Counter Shift Registers 8-Bit Shift Register,,,
1,IC10,TL072,595-TL072CPWR,TL072CPWR,Texas Instruments,Operational Amplifiers - Op Amps Dual Lw Nois JFET Op,,,
1,IC3  ,LM4040C25,595-LM4040C25IDBZR,LM4040C25IDBZR,Texas Instruments,Voltage References 2.5-V Precision Mcrpwr Shunt .5% acc,,,
1,IC4 ,MCP3204,579-MCP3204-CI/ST,MCP3204-CI/ST,Microchip,Analog to Digital Converters - ADC 12-bit SPI 4 Chl,,,
1,IC5,DAC8551,595-DAC8551IADGKT,DAC8551IADGKT,Texas Instruments,Digital to Analog Converters - DAC 16B Ultralow Glitch Vltg Output DAC,,,
1,IC6,3.3V,926-LM1117DT-3.3NOPB,LM1117DT-3.3/NOPB,Texas Instruments,LDO Voltage Regulators 800MA LDO LINEAR REG,,,
1,IC7,MCP6004,579-MCP6004-I/ST,MCP6004-I/ST,Microchip,Operational Amplifiers - Op Amps Quad 1.8V 1MHz,,IC7,
1,IC8,LM4040B10,595-LM4040B10IDBZR,LM4040B10IDBZR,Texas Instruments,Voltage References 10-V Prec Micropower Shunt .2% accuracy,,,
1,IC9,TL074,595-TL074CPWR,TL074CPWR,Texas Instruments,Operational Amplifiers - Op Amps Quad Low Noise JFET,,,
4,"L1, L2, L3, L4",,875-MI1210K600R-10,MI1210K600R-10,Laird,Ferrite Beads 60ohms 100MHz 1.5A Monolithic 1210 SMD,,,
1,Q5 ,8 Mhz,815-ABLS2-8-D4Y-T,ABLS2-8.000MHZ-D4Y-T,ABRACON,Crystals 8.0MHz 30ppm 18pF -40C+85C,,Q5,
1,Q6,MMBT3904,863-MMBT3904LT1G,MMBT3904LT1G,ON Semiconductor,Bipolar Transistors - BJT NPN GENERAL PURPOSE,,,
1,U1,AT328P,556-ATMEGA328P-AU,ATMEGA328P-AU,Atmel,8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V,,,
1,U10,16 MHz,81-CSTCE16M0V53-R0,CSTCE16M0V53-R0,Murata,Resonators 16MHZ .5% CHIP,,U10,
1,U2,74HC4067,771-HC4067PW112,74HC4067PW,NXP,"Multiplexer Switch ICs 16-Ch Analog, TSSOP",,U2,
1,U29,74HC2G04GW,771-HC2G04GW125,"74HC2G04GW,125",NXP,Inverters 5V 2-INPUT SINGLE,,U29,
1,U3,5V 1A,863-MC7805BDTRKG,MC7805BDTRKG,ON Semiconductor,Linear Voltage Regulators 5V 1A Postive,,,
1,UC1,STM32F103,511-STM32F103CBT6,STM32F103CBT6,STMicroelectronics,ARM Microcontrollers - MCU 32BIT Cortex M3 128K MED Performance LN,,,
1,SW1,Encoder,858-EN11-HSM1BF20,EN11-HSM1BF20,TT Electronics,,,,
1,JP1,,538-87914-1026,87914-1026,Molex,Headers & Wire Housings 2.54mm DRSW Hdr TH 10Ckt,,,
1,J8,,538-87914-0616,87914-0616,Molex,Headers & Wire Housings 6P HEADER,,,
2,,,667-EVQ-Q2K01W,EVQ-Q2K01W,Panasonic,Tactile Switches Switch Light Touch 6mm Square SMD,,,
1,,,481-0007,481-0007,Eagle,Extra M7 Nut to reinforce encoder,,,
1,,,649-221111-00010T4LF,20021111-00010T4LF,FCI / Amphenol,Mini JTAG header,,,